name,type,lat,lng,address,phone,rating,reviews
Embajada Británica,embassy,-25.2952218,-57.60679020000001,"P93V+W78, Av. Gral. Bernardino Caballero, Asunción 001228, Paraguay",,4.3,3
Foreign Ministry DGAE,embassy,-25.2812506,-57.63658239999999,"Edificio Benigno Lopez, Palma y, Asunción 001013, Paraguay",(021) 414 8000,3.8,59
Consulado de la República del Paraguay en Clorinda,embassy,-25.2905476,-57.7116913,"Av. 25 de Mayo 1396, P3610 Clorinda, Formosa, Argentina",03718 42-1988,4.3,39
Ministerio de Relaciones Exteriores de Paraguay,embassy,-25.2840877,-57.637612,"Alberdi &, P986+9X6, Eduardo Victor Haedo, Asunción 001101, Paraguay",(021) 414 8776,3.6,109
Consulado De Canadá,embassy,-25.2950389,-57.5791614,"Citicenter, Av. Mariscal Francisco Solano López 3794, Asunción 1982, Paraguay",(021) 227 207,4.9,19
Café Consulado,embassy,-25.279578,-57.638181,"Oleary esquina Local 7, 1210, Palma 299, Asunción 001013, Paraguay",0971 227665,4.5,1852
Consulado General Honorario de Suiza,embassy,-25.2957842,-57.58112059999999,"PC39+MHJ, Dr. Juan Eulogio Estigarribia, Asunción 001412, Paraguay",(021) 621 511,4.8,4
Consulado General De Austria,embassy,-25.2885682,-57.6084695,"Av. España 1522, Asunción 001208, Paraguay",(021) 225 022,4.9,10
Consulado peru,embassy,-25.276707,-57.5638754,"PCFP+FHM, Dr, Raúl Heisecke Ferreira, Asunción 001526, Paraguay",,5,21
Consulado Honorario de Portugal en Asunción,embassy,-25.2824735,-57.6380831,"14 De Mayo, Asunción 001013, Paraguay",(021) 451 950,2,4
Consulado General del Peru,embassy,-25.2849292,-57.6074758,"P98V+22C, República de Siria, Asunción 001208, Paraguay",,4.5,4
Consulado de Indonesia,embassy,-25.2856236,-57.5786097,"PC7C+QH2, Asunción 001411, Paraguay",(021) 600 628,4.7,6
Real Consulado General de Noruega,embassy,-25.2881651,-57.60365660000001,"Av. España 1885, Asunción 001208, Paraguay",(021) 221 492,5,3
Consulado Honorario de la República de Croacia en paraguay,embassy,-25.2869819,-57.6046153,"1780, Asunción 1780, Paraguay",0974 100406,0,0
Consulado Honorario de Suecia,embassy,-25.2705193,-57.6037584,"Av. Gral. José Gervasio Artigas 1945, Asunción 001202, Paraguay",,0,0
Consulado Honorario de la República Dominicana,embassy,-25.3130678,-57.606872,"Alonso Rodríguez 834 casi Caazapá, Parirí 834, Asunción 001234, Paraguay",(021) 551 187,1,1
Consulado de Lituania - Paraguay,embassy,-25.2965457,-57.5726925,"PC3G+9WM, Trifon Benitez Vera, Asunción 001408, Paraguay",0971 203600,5,2
Consulado Honorario del Reino Hachemita de Jordania,embassy,-25.2944827,-57.6068337,"Av. Gral. Bernardino Caballero 220, Asunción 001228, Paraguay",(021) 211 552,5,1
Consulado de Bélgica,embassy,-25.3486877,-57.46537259999999,"MG2M+GVC, Mariscal José Félix Estigarribia, Capiatá 110212, Paraguay",0228 633 327,4.6,13
Consulado de Jordania,embassy,-25.2849468,-57.6333466,"P988+2MC, Oliva, Asunción 001101, Paraguay",,4,1
Hospital Universitario Ntra. Ms. Asuncion,hospital,-25.2926352,-57.56190580000001,"Eusebio Lilio, Asunción 001409, Paraguay",(021) 729 0042,3.4,110
"Hospital San Jorge, Instituto Nacional de Cardiología ASUNCION",hospital,-25.2567786,-57.54655839999999,"Asunción 001509, Paraguay",(021) 292 532,4.2,214
Instituto de Previsión Social,hospital,-25.2714132,-57.58064459999999,"Santisimo Sacramento, Asunción 001531, Paraguay",(021) 290 136,3.2,636
Institute of Tropical Medicine,hospital,-25.2779394,-57.5932261,"PCC4+RPC, Asunción 001535, Paraguay",(021) 292 463,4.3,172
Hospital del Trauma Prof. Dr. Manuel Giagni,hospital,-25.3006664,-57.61293269999999,"M9XP+PRP, Av Gral Máximo Santos, Asunción 001227, Paraguay",(021) 204 800,3.9,175
Hospital San Pablo,hospital,-25.3208209,-57.5783017,"Asunción 001426, Paraguay",(021) 500 078,4,365
Clinical Hospital of San Lorenzo,hospital,-25.3234821,-57.5227777,"111421, Av. Mariscal López, San Lorenzo 111421, Paraguay",(021) 585 730,4,287
Hospital Materno Infantil Santisima Trinidad,hospital,-25.261057,-57.576069,"Itapua, Asunción 001521, Paraguay",(021) 290 165,3.5,114
Public Hospital Barrio Obrero,hospital,-25.2993306,-57.6445401,"P924+758, Av. Fulgencio Yegros, Asunción 001104, Paraguay",(021) 370 099,3.5,218
La Costa,hospital,-25.2729386,-57.6072885,"Av. Gral. José Gervasio Artigas 1500, Asunción 001202, Paraguay",(021) 217 1000,4,615
Sanatorio Migone,hospital,-25.288247,-57.62186000000001,"Eligio Ayala 1293, Asunción 1541, Paraguay",(021) 218 2000,3.5,279
Instituto Nacional de Enfermedades Respiratorias y del Ambiente Juan Max Boettner,hospital,-25.2749777,-57.59286170000001,"PCG4+2V2, Av. Venezuela, Asunción 001535, Paraguay",(021) 290 123,4.4,255
Sanatorio Italiano,hospital,-25.2880058,-57.5976957,"Av. España, Asunción 001207, Paraguay",(021) 214 260,3.7,144
Sanatorio Santa Barbara,hospital,-25.2585181,-57.58114680000001,"Alejandro Ravizza 263, Asunción 001519, Paraguay",(021) 299 388,3.8,99
Central Hospital,hospital,-25.2795969,-57.64574649999999,"Don Bosco 745, Asunción 001010, Paraguay",(021) 440 189,4.2,263
Hospital Materno Infantil Loma Pyta - Asunción,hospital,-25.2414517,-57.5444978,"QF53+QMV, Cap. H. C. Boris Dedoff, Asunción 001507, Paraguay",(021) 729 2000,3.8,71
Ex Hospital de Clinicas,hospital,-25.2798154,-57.65182970000001,"Tte. Pedro Rodi 2139, Asunción 001010, Paraguay",(021) 683 930,3.9,51
Hospital Psiquiátrico,hospital,-25.2795717,-57.59402850000001,"Av. Venezuela 1004, Asunción 001535, Paraguay",(021) 293 608,3.7,58
Sanatorio Santa Julia,hospital,-25.2763065,-57.5988742,"Av. Brasilia 1182, Asunción 001206, Paraguay",(021) 236 5000,3.5,178
Hospital,hospital,-25.2918532,-57.5616616,"Capitán Emeterio Miranda 1096, Asunción 001409, Paraguay",,4.1,107
Sanatorio Americano,hospital,-25.2862882,-57.61528889999999,"Av. España 935 c, Asunción 001209, Paraguay",(021) 200 226,4.4,59
Centro Médico Corppolive,hospital,-25.2553413,-57.5772593,"Santisimo Sacramento 3069, Asunción 001519, Paraguay",0971 568547,5,259
Centro de Especialidades de Salud Integral - IPS,hospital,-25.2682436,-57.5830958,"PCJ8+PQ2, Santisimo Sacramento, Asunción 001531, Paraguay",(021) 219 7293,4.2,17
Clinica San Nicolás,hospital,-25.3194181,-57.5772251,"Incas 3467, Asunción 001426, Paraguay",0984 102582,4.9,36
Clínica Portas del Escudo,hospital,-25.2691146,-57.5978933,"354, Asunción 001203, Paraguay",0971 998699,4.6,12
Sanatorio San Roque,hospital,-25.2889746,-57.6207977,"Eligio Ayala 1383, Asunción 001218, Paraguay",(021) 248 9000,3.6,123
Periférica Nanawa Clinic,hospital,-25.2580603,-57.5856599,"casi Cañadón Chaqueño, PCR7+RQV, Artigas, Asunción 001532, Paraguay",(021) 291 989,3.8,85
Centro Médico Bautista,hospital,-25.2993976,-57.578588,"Avda. República Argentina y, Campos Cervera 635, Asunción 001416, Paraguay",(021) 688 9000,4.1,361
Asuncion Dental Clinic,hospital,-25.29567,-57.592412,"Pacheco, Av. Choferes Del Chaco 775, Asunción 1412, Paraguay",0984 536880,4.8,38
Wellness Clinic,hospital,-25.2769671,-57.56534619999999,"Avda. Molas Lopez 687 Entre Dr. Geronimo Zubizarreta y Prof, Dr. Cirilo Caceres Zorrilla, Asunción 001527, Paraguay",0981 205060,3.4,5
"Policlínico Municipal de Asunción, ASUNCION",hospital,-25.296337,-57.6202668,"P93H+FV9, Asunción 001224, Paraguay",(021) 225 982,4.1,38
Clinica Elgue,hospital,-25.2825577,-57.590213,"Sta. Rosa 944, Asunción 001535, Paraguay",0971 999888,4.8,76
"SANATORIO ESPAÑOL, ASUNCION",hospital,-25.2873487,-57.66141220000001,"Gobernador Domingo M.De Irala y, Asunción 001005, Paraguay",(021) 420 888,4,60
Sanatorium San Martin,hospital,-25.3202588,-57.5933804,"Av. República Argentina, Encarnación 001423, Paraguay",(021) 569 4500,3.6,120
Sanatorio Adventista de Asunción,hospital,-25.2943914,-57.6248879,"Silvio Pettirossi 380 c, Asunción 001221, Paraguay",(021) 219 6000,3.9,248
Sanatorio San Lucas,hospital,-25.3080018,-57.59902330000001,"Av. Eusebio Ayala, Asunción 001231, Paraguay",(021) 729 1600,3.7,96
Sanatorium San Sebastián,hospital,-25.3040796,-57.5402815,"MFW5+9V8, Guyra Campana, Fernando de la Mora 110302, Paraguay",(021) 675 591,3.7,138
Sanatorio AMSA,hospital,-25.2952105,-57.6265962,"Tte. Fariña &, Capitán Figari, Asunción 1221, Paraguay",(021) 235 2000,3.2,197
Hospital Las Lomas,hospital,-25.2906916,-57.6236026,"Azara 1209, Asunción 1209, Paraguay",(021) 494 931,4.4,108
Hospital Las Lomas del Británico.,hospital,-25.2906836,-57.62435439999999,"Azara 1249 esq, Asunción 001220, Paraguay",(021) 379 8000,3.2,82
CENTRO DE ESPECIALIDADES MÉDICAS,hospital,-25.286275,-57.623116,"Brasil 165, Asunción 001218, Paraguay",,3.8,12
Centro Medico Oncologico Nuestra Señora de la Asuncion SA,hospital,-25.2947109,-57.6155915,"Cerro Corá 2095 esquina, Asunción 001225, Paraguay",0982 220152,4.4,7
Centro Medico Asuncion,hospital,-25.2909679,-57.6220331,"Pai Perez 478 esq, Asunción 001220, Paraguay",,0,0
Clínica CETRO S.A.,hospital,-25.2977562,-57.60895489999999,"33 Orientales esq, Asunción 001227, Paraguay",(021) 225 305,4.3,21
Oxades - Centro de Diagnósticos Suc. Sanatorio Medicis,hospital,-25.314342,-57.63026199999999,"Av. José Felix Bogado 1917, Asunción 1107, Paraguay",0981 446439,4.3,6
La Costa Lynch,hospital,-25.309431,-57.55404710000001,"MCRW+59W, Victor Heyn, Asunción 001418, Paraguay",(021) 658 3000,3.5,236
Cirujano Vascular Y Flebologo Especialista En Varices- Dr.Canata Paraguay,hospital,-25.2998567,-57.60841619999999,"Av. Gral. Bernardino Caballero 729, Asunción 1849, Paraguay",(021) 214 191,3.3,4
"LifeCenter, Centro Médico",hospital,-25.2908713,-57.6223669,"Cerro Corá 1363, Asunción 001220, Paraguay",0974 456601,5,8
Villa Morra Migone clinic,hospital,-25.2973442,-57.57283330000001,"Ulrico Schmidel esq, Asunción 001416, Paraguay",(021) 218 2000,3.7,186
Meds Clínica - Centro Urológico,hospital,-25.2913713,-57.62229259999999,"Pai Perez 532, Asunción 0000, Paraguay",0981 487979,4.3,30
Medical Centre for Women,hospital,-25.2946079,-57.6142322,"25 de Mayo esquina, Asunción 001226, Paraguay",(021) 200 573,5,10
Centro de Diagnosis Clínica,hospital,-25.284941,-57.60610409999999,"Ayala Velazquez, Asunción 001204, Paraguay",0985 478793,5,5
Centro Médico Alba,hospital,-25.2913916,-57.6203668,"Av. Perú 421, Asunción 001224, Paraguay",(021) 200 263,4.7,3
Centro Medico San Agustin,hospital,-25.2430496,-57.5472023,"QF43+Q4M, Asunción 001507, Paraguay",(021) 293 734,4.8,5
Centro Médico San Cristóbal,hospital,-25.2998456,-57.56095309999999,"Del Maestro, Asunción 001406, Paraguay",(021) 617 9000,4.2,54
Colegio Internacional,school,-25.2895378,-57.6157098,"P96M+5PM, Rio De Janeiro, Asunción 001209, Paraguay",(021) 200 675,0,0
Colegio de la Asunción,school,-25.3180198,-57.53225279999999,"MFJ9+Q3X, Fernando de la Mora 110310, Paraguay",(021) 680 913,4.7,124
Colegio Privado San Ramón,school,-25.268048,-57.6017782,"Villarrica 229 entre 8 de Junio y, Av. Gral. José Gervasio Artigas, Asunción 001202, Paraguay",0981 461171,5,1
The American School of Asuncion,school,-25.2845278,-57.5802543,"Augusto Roa Bastos Esquina, Asunción 1760, Paraguay",(021) 236 4000,0,0
Colegio Privado del Sol,school,-25.3045079,-57.5630237,"MCWQ+G2P, Dr. Justo Prieto 260, Asunción 001417, Paraguay",(021) 512 617,0,0
Lumen School,school,-25.2626595,-57.5716484,"PCPH+W8Q, Congreso de Colombia, Asunción 001521, Paraguay",(021) 283 483,0,0
Colegio Las Teresas,school,-25.2877471,-57.6217656,"P96H+W75, Av. Mariscal López, Asunción 001218, Paraguay",,4.3,23
Colegio Aula Viva,school,-25.2759414,-57.5857484,"Santisimo Sacramento 1345, Asunción 001534, Paraguay",0982 429050,0,0
Colegio Las Almenas,school,-25.2961945,-57.58721929999999,"001412, Manuel del Castillo 682, Asunción 001412, Paraguay",(021) 604 055,0,0
Colegio Goethe,school,-25.2834081,-57.5561818,"esquina, Cnel. Alejo Silva & Tte. 1º Carlos Rocholl, Asunción 001402, Paraguay",(021) 662 546,0,0
Colegio Privado N° 5350 Sol de América,school,-25.2974015,-57.6382698,"Avenida Francisco Acuña De Figueroa &, P936+2MQ, México, Asunción 001105, Paraguay",(021) 390 100,0,0
"Colegio Privado Subvencionado ""Asunción""",school,-25.3073257,-57.6407975,"25 De Agosto, Asunción 001106, Paraguay",(021) 370 561,0,0
Divine Word College,school,-25.3122327,-57.60697469999999,"M9QV+462, Asunción 001234, Paraguay",(021) 551 446,4.6,75
Colegio Nuestra Señora del Rosario,school,-25.2970378,-57.60723230000001,"P93V+54J, Asunción 001228, Paraguay",,0,0
Deutsche Schule Concordia,school,-25.2722381,-57.5879596,"Prof. César Samaniego casi, Asunción 001534, Paraguay",(021) 291 370,0,0
Santa Elena School,school,-25.2937685,-57.57530130000001,"Del Maestro 1683, Asunción 001408, Paraguay",(021) 600 961,0,0
"Colegio Nacional ""Nuestra Señora De La Asuncion""",school,-25.2806485,-57.5940519,"Av. Venezuela 1039, Asunción 001535, Paraguay",(021) 292 175,0,0
Colegio Privado San Nicolás,school,-25.2911636,-57.6202525,"y, Avda. Perú &, P95H+GVQ, 25 de Mayo, Asunción 001224, Paraguay",(021) 203 591,0,0
Colegio Campoalto,school,-25.300194,-57.587836,"Las Perlas 4686, Asunción 001412, Paraguay",(021) 608 587,0,0
Centro Educativo Parroquial San Agustín,school,-25.2441458,-57.5462374,"QF43+8GR, RutaTranschaco, Asunción 001509, Paraguay",(021) 299 479,4.3,16
The CCPA School,school,-25.2699279,-57.56220689999999,"Vicente Flores, Asunción 001525, Paraguay",(021) 615 160,0,0
Albert Einstein School,school,-25.3001627,-57.56167730000001,"Olegario Víctor Andrade, Asunción 001407, Paraguay",(021) 613 781,4.1,22
Villa Morra Baptist School,school,-25.3002799,-57.57928849999999,"Av. República Argentina 691, Asunción 001416, Paraguay",(021) 600 020,0,0
Colegio Japonés-Paraguayo,school,-25.304371,-57.5915267,"MCW5+795, Asunción 001421, Paraguay",(021) 601 150,0,0
Paraguay - Brasil Experimental School,school,-25.2836641,-57.66298229999999,"Cmte. Gamarra y Gobernador Irala, P88P+GRJ, Juan De Garay, Asunción 001002, Paraguay",(021) 423 320,0,0
Educational Center Los Laureles CEL,school,-25.3074961,-57.5771902,"Antonio Taboada 5820, Asunción 001415, Paraguay",(021) 611 911,0,0
Educational Center San Ignacio de Loyola,school,-25.267025,-57.5918332,"Av. Venezuela esq, Asunción 001534, Paraguay",0972 295870,0,0
Alpha College Paraguay,school,-25.3247186,-57.623999,"Av Gral Máximo Santos, Asunción 001310, Paraguay",0974 854386,4.1,133
St. Anne's School / Colegio Santa Anna,school,-25.259923,-57.5548595,"PCRW+23J, Manuel P Gonzalez, Asunción 001522, Paraguay",(021) 295 649,0,0
School Rep. Federal Republic of Germany,school,-25.2786826,-57.5635843,"Prof. Manuel Riquelme y, Asunción 001527, Paraguay",(021) 660 121,0,0
Trinity School,school,-25.2835273,-57.53871439999999,"Trinity School, Trinity School, Tuyutí, Luque 110938, Paraguay",0975 674838,0,0
Colegio Teresiano,school,-25.2874535,-57.6219781,"casi, Av. Mariscal López &, P97H+68C, Constitucion, Asunción 001218, Paraguay",(021) 224 683,0,0
Asunción Christian Academy,school,-25.2787466,-57.58664100000001,"Santisimo Sacramento 1181, Asunción 001534, Paraguay",(021) 338 1009,4.4,25
Colegio Técnico Nacional de Asunción,school,-25.300953,-57.57130900000001,"R.I. 3 Corrales c/ Dr. Hassler, Campos Cervera, Asunción 001416, Paraguay",(021) 608 663,4.7,338
Escuela Nacional de Comercio N°1 Alfonso B. Campos,school,-25.2929227,-57.64203879999999,"Sicilia 249 &, Chile y, Asunción 001102, Paraguay",0971 759988,4.6,77
Escuela La Amistad,school,-25.2427821,-57.5811803,"QC49+7F2, Epopeya Nacional, Asunción 001511, Paraguay",(021) 297 149,4.7,21
Colegio Nacional E.M.D. Asuncion Escalada,school,-25.2831012,-57.63209669999999,"P989+Q52, Asunción 001101, Paraguay",(021) 447 909,0,0
Colegio Técnico Cerro Corá,school,-25.2573843,-57.58253329999999,"PCV8+2XW, Avenida, Asunción 001519, Paraguay",(021) 282 170,4.4,25
Technical College Javier,school,-25.2650988,-57.5815206,"Itapua 148, Asunción 001531, Paraguay",(021) 296 187,0,0
School Sacred Hearts of Jesus and Mary,school,-25.2757711,-57.56028359999999,"Asunción 001526, Paraguay",(021) 601 710,0,0
"""Doña Francisca Eloisa Duarte"" Primary School N°962",school,-25.2636322,-57.56545120000001,"PCPM+GRV, Asunción 001521, Paraguay",(021) 291 399,0,0
Centro Educativo La Asunción de María,school,-25.1709708,-57.48009750000001,"Gral. Elizardo Aquino esquina, Limpio 110816, Paraguay",(021) 781 015,0,0
Nursery and Kindergarten The Cariñositos,school,-25.292215,-57.565349,"Eusebio Lillo Robles 2348, Asunción 1820, Paraguay",(021) 605 118,4.4,14
GUARDERÍA BILINGÜE - ESPACIO DE DESARROLLO INFANTIL LAS MERCEDES,school,-25.2869391,-57.6156218,"PADRE JUAN PUCHEU # 452 ENTRE, Av. España Y, Asunción 001209, Paraguay",0991 205284,5,11
Spiele und Co,school,-25.2777402,-57.5481949,"Cap. Leonardo Britos 3390, Asunción 001401, Paraguay",0984 700815,4.9,8
Bosque Encantado,school,-25.3023481,-57.6052647,"Herminio Giménez 3415 casi, Asunción 1604, Paraguay",0981 357888,5,12
Guardería Enjoy - Barrio Herrera,school,-25.2933589,-57.5538888,"Gral. Rogelio Benitez 1279, Asunción 001406, Paraguay",0983 042327,4.7,24
El Castillo de los Niños Children's School- Asuncion,school,-25.2917656,-57.6613782,"Avda. Mayor José Jesús de Martinez, Juan De Garay 1790 esq, Asunción 001006, Paraguay",0982 565293,4.8,8
Jardín Infantil. Rinconcito de Luz. Villa Morra. Guardería,school,-25.2964712,-57.58255559999999,"PC38+CX8, San Roque Gonzalez de Santacruz, Asunción 001412, Paraguay",0991 682516,5,3
Guardería MONIGOTE,school,-25.2894702,-57.5572907,"PC6V+638, Bruselas, Asunción 001410, Paraguay",(021) 602 740,4.6,9
You & Me Preschool,school,-25.2868337,-57.5744121,"Austria 1410, Asunción 001411, Paraguay",0971 533700,5,5
"Taller Creativo Kinderland - Jardín de Niños, Guardería.",school,-25.2811894,-57.5590051,"Grabadores del Kabichu'i 2873, Asunción 001401, Paraguay",0971 577600,5,9
Creciendo Taller Infantil,school,-25.277856,-57.5734983,"San Rafael 1051 casi, Asunción 001528, Paraguay",0981 776566,4.2,5
Jardin de infantes Patio Abierto,school,-25.2834963,-57.5966633,"PC83+J84, Asunción 001207, Paraguay",0981 951100,5,4
EDI ~ La Casa dei Bambini ~ Guardería,school,-25.3137488,-57.5977269,"Av. Médicos del Chaco 2531, Asunción 001422, Paraguay",0992 206268,5,3
Centro Infantil Pequeño Mundo,school,-25.288617,-57.5842023,"Cassianof 456 entre del Maestro y Bertoni, Asunción 001411, Paraguay",,5,4
KBA Amanecer,school,-25.2716511,-57.5641425,"Fuerte Borbón, Asunción 001526, Paraguay",0981 120058,4.4,7
"Guardería ""Tía Chachy""",school,-25.2906463,-57.6210533,"P95H+PHW, Asunción 001218, Paraguay",0991 997592,5,1
TEIJ,school,-25.2570875,-57.57459849999999,"PCVG+556, Juana Pabla Carrillo de López, Asunción 001519, Paraguay",0981 292124,4.7,19
ESPACIO DE DESARROLLO INFANTIL N⁰: 8344 - TEDDY BEAR,school,-25.3017438,-57.6125491,"Acá Vera 1022 c, Asunción 001227, Paraguay",0982 937849,5,7
La Casita de Nuna,school,-25.334033,-57.58823299999999,"Sanapaná, Asunción 001432, Paraguay",(021) 559 781,5,3
Small Seeds Preschool,school,-25.2986676,-57.6027797,"Comandante Franco, Asunción 001229, Paraguay",0985 328785,5,3
Kindergarten Maria Montessori,school,-25.2821446,-57.57283,"Sta. Ana 750, Asunción 001529, Paraguay",(021) 603 246,4.8,24
KINDERCLUB DTA,school,-25.28262,-57.6079877,"Avda. Gral. Santos 984 entre Siria y, Concordia, Asunción 0166, Paraguay",0981 180213,5,7
"KINDER PLAY Babycare, Kinder and Kindergarten",school,-25.2954263,-57.583058,"Tte. Zotti 352 casi, Asunción 001412, Paraguay",0982 611123,5,6
Montessori Children’s Home,school,-25.3010198,-57.56917840000001,"Asunción 001416, Paraguay",0982 805095,5,9
CDI COLEGIO,school,-25.2664792,-57.6015969,"Asunción 001202, Paraguay",,4.9,50
Maria's Preschool,school,-25.2975246,-57.5695607,"Guido Spano 2314, Asunción 001408, Paraguay",(021) 604 096,4.3,11
JUMPING KINDERGARTEN,school,-25.3073888,-57.5738987,"MCVG+2CX, José De la Cruz Ayala, Asunción 001415, Paraguay",610258,5,6
Guarderia KBA Carmelitas,school,-25.2800964,-57.56333489999999,"Herib Campos Cervera 1170, Asunción 001527, Paraguay",0981 120058,4.8,6
Area Kids,school,-25.282566,-57.58719749999999,"PC87+X4F, Santisimo Sacramento, Asunción 001530, Paraguay",0981 336672,4.6,470
Spain house Paraguay,school,-25.2558067,-57.5763255,"Juana Pabla Carrillo de López, Asunción 001519, Paraguay",(021) 290 030,4.1,475
Colegio Santa María,school,-25.2662579,-57.4857946,"PGM7+FMW, Luque 110921, Paraguay",,4.2,25
Colegio Santa María del Monte Carmelo,school,-25.2894848,-57.6570759,"P86V+653, Juan Diaz De Solis, Asunción 001008, Paraguay",(021) 480 101,0,0
Espacios de Ser,school,-25.287835,-57.5709101,"Viena Entre, Bruselas y, Asunción 1031, Paraguay",0971 172726,4.9,33
Colegio María Auxiliadora,school,-25.2885855,-57.63069489999999,"P969+HP7, Asunción 001219, Paraguay",(021) 447 895,0,0
St. Mary’s School,school,18.3747512,-66.0531537,"Calle San Javier, San Juan, 00926, Puerto Rico",(787) 755-3122,0,0
Paraguay American School,school,-25.2838314,-57.5786116,"Paraguay American School, Colegio Americano, Av. España 1175, Asunción 001411, Paraguay",,0,0
Colegio Dante Alighieri,school,-25.2851211,-57.638195,"Eduardo Victor Haedo 399, Asunción 001101, Paraguay",(021) 498 553,0,0
San Jose Catholic College,school,-25.2862971,-57.61919879999999,"Av. España y, Asunción 001218, Paraguay",(021) 226 641,0,0
Santa Clara Catholic College,school,-25.2922154,-57.5849412,"Av. Mariscal López 3150, Asunción 001412, Paraguay",(021) 600 536,0,0
Paseo La Galería,shopping_mall,-25.2843592,-57.56344719999999,"Av. Sta. Teresa 1827, Asunción 001410, Paraguay",(021) 659 4000,4.7,30735
delSol,shopping_mall,-25.2828559,-57.56667429999999,"Av. Aviadores del Chaco, Asunción 001529, Paraguay",(021) 611 780,4.6,27593
Shopping Mariscal,shopping_mall,-25.2950817,-57.5811803,"Quesada 5050, Asunción 1411, Paraguay",(021) 611 272,4.6,24485
Shopping Villa Morra,shopping_mall,-25.2942796,-57.5805923,"Av. Mariscal López 3974 y, Asunción 001411, Paraguay",(021) 603 050,4.4,14295
Shopping Multiplaza,shopping_mall,-25.3165308,-57.5714466,"Av. Eusebio Ayala 4501, Asunción 001419, Paraguay",(021) 511 005,4.3,23983
Mall Excelsior,shopping_mall,-25.2877297,-57.6388257,"Chile 993, Asunción 001101, Paraguay",,4.1,8487
Asunción Super Centro,shopping_mall,-25.2822232,-57.6383446,"15 De Agosto, Asunción 001013, Paraguay",(021) 493 333,3.9,8449
